week_start,incident_date,place,summary,category
2025-08-01,,St. Johns Street,"A bench, suspected of being stolen, was recovered from two men in St. Johns Street (Zone 1 of the Lower Gardens CID). The suspects admitted to taking the bench from De Waal Park near the Gardens Centre with the intent to sell it. The CID security team and Law Enforcement officer arrested the two individuals and transported them to the police station. The bench was handed over to the police.",Notable Incident
2025-08-01,,St. Johns Road,"Following a break-in and theft from a motor vehicle on St. Johns Road (Zone 1 of Lower Gardens CID), two suspects were arrested. The Lower Gardens City Improvement District (LGCID) team observed the suspects loading an Uber with possessions. When confronted, they could not provide proof of ownership for the items. The CID team then apprehended the suspects and called the South African Police Service (SAPS). The victim was able to identify their stolen possessions, and all items were recovered.",Notable Incident
2025-08-11,2025-08-14,Glynville Terrace,Theft out of a motor vehicle at approximately 17:30. Personal belongings were stolen. The victim reported the case to SAPS with the case number shared with the CID security team who are on the lookout.,Theft out of motor vehicle
2025-08-11,2025-08-15,Hope Street,"At approximately 07:30, a woman reported an intimidation incident on Hope Street to a Public Safety Officer (PSO), providing a description of the male suspect. PSOs quickly located and detained a matching individual, whom the complainant identified. The suspect was taken to Cape Town Central SAPS. A search at the police station revealed a laptop, Android tablet, headphones, and a power bank in his possession, for which he could not provide proof of ownership. As a result, dockets were opened for both intimidation and possession of suspected stolen property, and the two cases were linked.",Intimidation
2025-08-11,2025-08-16,Dunkley Square,"At approximately 12:30 a woman reported an incident of theft after her personal belongings were stolen. After receiving a description of the suspect, the CID security team were able to recover the woman's personal belongings under the Mill bridge. The CID security could not however carry out the arrest as the victim did not want to report the case to SAPS.",Theft
2025-08-18,2025-08-22,Buitenkant Street,"At approximately 01:35 upon observing three men carrying large advertising boards, the LGCID security officer intervened. Suspects were apprehended and contacted the South African Police Service (SAPS), officers were dispatched to the scene. The CID security team could not arrest the suspects as the owner did not want to open a case. The advertising boards were then secured in the CID security vehicle.",Possession of Possible Stolen Goods
2025-08-18,2025-08-23,Buitenkant Street,"At approximately 01:30, a suspect was arrested on Buitenkant Street after being observed running and acting agitated. When confronted by the LGCID security officer, the individual was found to be in possession of a stolen cell phone. The officer called for backup from the mobile team and the South African Police Service (SAPS), who then arrested the suspect for possession of stolen property.",Cellphone Theft
2025-08-18,2025-08-24,Wandel Street,Theft out of a motor vehicle at approximately 18:00. No confirmation of the items stolen. The victim reported the case to SAPS with the case number to be shared with the CID security team who are on the lookout.,Attempted Theft from Motor Vehicle
2025-08-25,2025-08-29,Buitenkant Street,"A motor vehicle accident occurred at 7:45 PM on Buitenkant Street involving a silver Volvo and a motorbike. The Volvo driver reportedly did not see the motorbike, which resulted in a collision with its rider. The rider was taken to Chris Barnard Hospital by ambulance, which arrived on the scene at 7:51 PM. Law enforcement was also present at the scene.",Vehicular collision
2025-08-25,2025-08-29,Barnet Street,"A small window was found broken at a property on Barnet Street. The CID security team indicated that items were stolen from the windowsill, including a pair of sneakers. CID security team is awaiting case number from SAPS.",House break in
2025-08-25,2025-08-31,Mill Street,"A suspicious man was observed on a bridge near Mill and Buitenkant streets. When approached by a patrol officer, the individual acted nervously and was found to be in possession of a mandrax tablet and drug-related paraphernalia. The suspect was then detained until police arrived to make an arrest. The individual was taken to the police station where he was formally charged.",Possession of drugs
2025-09-01,2025-09-02,Roeland Street,"Following a report from a woman who was being followed, our team located and detained a suspicious individual. Upon searching the suspect, officers found a packet of tik and a drug pipe in his possession. The suspect was arrested and taken into custody at the Cape Town Police Station.",Possession of illegal substances
2025-09-01,2025-09-05,Hope Street,"An officer on patrol noticed a suspicious man near a white Nissan NP200. When confronted, the man dropped his bag. With assistance from additional officers and the South African Police Service (SAPS), the suspect was searched and found to be in possession of spark plugs and vehicle break-in equipment. The individual was arrested by SAPS for a possible car break-in.",Possession of illegal substances and housebreaking implements
2025-09-08,,Vrede Street,"Over the weekend, a building on Vrede Street was broken into. The suspects gained entry by kicking out an air conditioner from a window. Several items were stolen, including a Kärcher pressure hose, a grinder, and various loose tools.",Housebreaking
2025-09-08,2025-09-11,Gordon Street,One suspect was arrested in the early hours of the morning after being caught breaking and entering into a vehicle,Theft out of Motor Vehicle
2025-09-08,2025-09-09,Harrington Street,"An officer on patrol intervened in an argument and found a woman bleeding from her head. The injured woman stated that her boyfriend's mother, who lives at the same residence, had hit her. Although an ambulance and law enforcement were initially called, they were canceled after the couple decided to handle the matter themselves by going to the police and a hospital.",Assault
2025-09-08,2025-09-08,Wesley Street,"LGCID security team responded to a report of a house break-in. Acting quickly on leads, officers were able to locate and apprehend two suspects just a few hours after the incident. The suspects were found in possession of items stolen from the property, which were all successfully recovered and returned to the owner.",Housebreaking
2025-09-08,2025-09-09,Barnett Road,"An officer responded to a report of an assault at the intersection of Barnet and Dunkley streets, where an individual was found severely beaten and bleeding. An ambulance was immediately dispatched to provide medical assistance.",Assault
2025-09-08,2025-09-10,Hope Street,"A complaint was filed regarding a stolen pot plant. A public safety officer confirmed the theft and found an unfamiliar bin left at the scene, which the owner believes was used to transport the plant.",Theft
2025-09-08,2025-09-13,Hope Street,"On Saturday night, the garage of the apartment block was accessed and four vehicles had their windows broken. Contents were stolen from each of the cars.",Housebreaking
2025-09-15,2025-09-16,Solan Road,"While on patrol the CID security team noticed a suspicious person on Solan Road. When they approached him, they detected a strong smell of mandrax and uncovered a packet of tik and another unknown substance. SAPS was called, and the suspect was taken to the police station where he was arrested for drug possession.",Possession of drugs
2025-09-15,2025-09-15,Courville Street,A suspect was apprehended by our team after breaking into a vehicle with a slightly open window. SAPS was called to the scene and took the individual into custody.,Car Break In
2025-09-15,2025-09-15,Hope Street,"CID officer called for backup after observing a man breaking into a car on Hope Street. When our team arrived, they found the suspect still inside the vehicle. The suspect was then detained in the lockup mobile, and SAPS was called to the scene to make an arrest.",Car Break In
2025-09-15,2025-09-19,Maynard Street,"A resident on Maynard Street reported a theft from a vehicle that occurred between midnight and 4:00 AM. The suspects derailed the security gate to gain access but did not enter the house. They stole only clothing from the vehicle, which was unlocked. The police were informed but had not arrived, so the resident was advised to file a report directly at the police station. Video footage of the incident will be provided by a neighbor with security cameras.",House Break in
2025-09-22,2025-09-23,Buitenkant Street,A business robbery took place in the early hours of the morning. Suspects damaged the main entrance door and attempted to destroy a surveillance camera before stealing a video camera. SAPS were on the scene and were able to assist in retrieving the display board and artificial grass that was stolen. It is unconfirmed whether those involved were arrested.,Housebreaking (Business)
2025-09-22,2025-09-25,Wesley Street,"While on patrol, an officer observed a man acting suspiciously in Wesley Street as he walked away from a group of individuals. Upon confronting the individual, the officer intervened as the suspect attempted to swallow a small, clear packet. The packet was retrieved and found to contain three packets of Tik (methamphetamine). The suspect was immediately arrested and handed over to the Cape Town Central SAPS on charges of drug possession for further investigation.",Possession of drugs
2025-09-29,2025-09-25,Mill Street,"An officer on patrol noticed a suspicious individual selling a cell phone in front of a KFC near Buitenkant and Mill streets. With assistance from the mobile team, the individual was stopped and found to be in possession of stolen property. The suspect was subsequently apprehended.",Possession of Stolen Goods
2025-10-06,2025-09-12,Annadale Street,"A public safety officer requested backup after a thief stole several chocolate bars. The suspect was chased by SSG Security and garage staff before being successfully apprehended by the public safety officer on Hope Street. With the assistance of the rest of the team, the suspect was searched and found to have concealed additional chocolate bars in his clothing.",Possession of Stolen Goods
2025-10-13,2025-10-18,Maynard Street,Theft out of motor vehicle reported along Maynard street on Saturday evening. It is unconfirmed what items were stolen. LGCID public safety team is awaiting the SAPS Case number,Housebreaking
2025-10-20,2025-10-18,Wesley Street,"On Saturday, the LGCID public safety team was alerted by a member of the public about two men carrying a welding machine. Officers quickly approached the individuals, who could not account for the equipment. SAPS was informed, and the suspects were arrested for the possible possession of stolen property. The owner was contacted and filed a formal case. Furthermore, our team later recovered a missing Black and Decker grinder belonging to the same complainant, ensuring all stolen equipment was retrieved.",Possession of Stolen Goods
2025-11-10,2025-11-13,McKenzie Street,"Housebreaking occurred on Thursday night at 21:30. Two suspects who were armed broke in and entered the residential premises. They stole a bag, laptop, jewelry and cash (in rands and euros). A case has been opened at SAPS.",Criminal Incident
2025-11-17,2025-11-18,Hope Street,The public safety team observed a suspicious male actively engaged in the sale of an iPhone and an iPad. Reaction vehicles were dispatched to the location and assisted the observing units. The suspect was subsequently arrested for possession of suspected stolen property.,Criminal Incident
