week_start,Roads & Infrastructure,Water & Sanitation,Electricity,Parks & Recreation,Waste Management,Environmental Health,Law Enforcement,Traffic
2025-08-01,,,,,,,,
2025-08-08,,,,,,,,
2025-08-11,,,,,,,,
2025-08-18,,,,,,,,
2025-08-25,,,,,,,,
2025-09-01,,,,,,,,
2025-09-08,,,,,,,,
2025-09-15,,,,,,,,
2025-09-22,,,,,,,,
2025-09-29,,,,,,,,
2025-10-06,,,,,,,,
2025-10-13,16,2,,0,,,2,0
2025-10-20,3,7,1,0,,,0,0
2025-10-27,20,8,1,0,,,2,0
2025-11-03,13,7,1,0,,,0,0
2025-11-10,2,2,0,1,,,0,1
2025-11-17,20,6,6,1,,,0,1
2025-11-24,5,6,3,3,,,0,0
2025-12-01,15,11,5,2,10,,2,1
2025-12-08,0,0,5,2,7,2,0,1
2025-12-15,2,2,2,4,2,0,4,1
2025-12-22,0,0,0,0,3,0,0,0
2025-12-29,0,0,3,0,3,0,0,0
2026-01-05,5,5,1,1,4,0,1,0
2026-01-12,3,1,5,0,4,0,0,0
2026-01-19,0,2,4,0,3,0,0,0
2026-01-26,1,3,1,0,3,0,0,0
2026-02-02,0,5,0,0,5,0,0,0
2026-02-09,5,3,0,1,0,0,0,2
2026-02-16,8,8,1,1,1,0,0,3
2026-02-23,6,9,0,1,2,0,0,0
2026-03-02,6,9,1,0,0,0,0,0
