category,reference_number,date_logged,request_status,issue_description,service,address
Roads & Infrastructure,9121013953,2025-10-15,Closed,Missing cover in the road along Hope Stret nearest corner Tuin Plein,Defect Road Foot Bic Way/Kerbs,23 HOPE STREET CAPE TOWN CITY CENTRE CAPE TOWN CITY CENTRE
Roads & Infrastructure,9121014035,2025-10-15,Closed,Repair of pavement along Tuin Plein nearest corner Hope Street in Gardens,Manhole Cover/Gully Grid,25 HOPE ST CAPE TOWN CAPE TOWN
Roads & Infrastructure,9121014710,2025-10-15,Closed,Missing cover by the Cathedral along Hope Street nearest corner Roeland Additional Address Information The missing cover is along Hope Street nearest corner Roeland,Manhole Cover/Gully Grid,7 ST JOHNS ROAD CAPE TOWN CITY CENTRE CAPE TOWN CITY CENTRE
Roads & Infrastructure,9121014795,2025-10-15,Closed,Pavement repair at the Cathedral along St Johns nearest corner Roeland,Defect Road Foot Bic Way/Kerbs,7 ST JOHNS ROAD CAPE TOWN CITY CENTRE CAPE TOWN CITY CENTRE
Roads & Infrastructure,9121014847,2025-10-15,Closed,Pavement repair along St Johns nearest corner Bouquet,Defect Road Foot Bic Way/Kerbs,21 ST JOHNS ROAD UNKNOWN CAPE TOWN CITY CENTRE
Roads & Infrastructure,9121014902,2025-10-15,Closed,Pavement repair along St Johns nearest corner Bouquet,Defect Road Foot Bic Way/Kerbs,21 ST JOHNS RD CAPE TOWN CAPE TOWN
Roads & Infrastructure,9121014947,2025-10-15,Closed,pavement repair needed along St Johns road nearest corner Bouquet,Defect Road Foot Bic Way/Kerbs,21 ST JOHNS RD CAPE TOWN CAPE TOWN
Roads & Infrastructure,9121014990,2025-10-15,Assigned,Storm water drain cleaning needed along St Johns nearest corner Bouquet,Block Pipe / Chan / Canal / Drain / Guly,48 ST JOHNS RD CAPE TOWN CAPE TOWN
Roads & Infrastructure,9121015048,2025-10-15,Closed,Pavement repair along St Johns nearest corner Vrede Street,Defect Road Foot Bic Way/Kerbs,52 ST JOHNS RD CAPE TOWN CAPE TOWN
Roads & Infrastructure,9121015104,2025-10-15,Closed,Pavement repair along St Johns nearest corner Vrede Street,Defect Road Foot Bic Way/Kerbs,79 ST JOHNS ROAD CAPE TOWN CITY CENTRE CAPE TOWN CITY CENTRE
Roads & Infrastructure,9121015136,2025-10-15,Closed,Missing manhole cover along St Johns nearest corner Vrede,Manhole Cover/Gully Grid,79 ST JOHNS RD CAPE TOWN CAPE TOWN
Roads & Infrastructure,9121015208,2025-10-15,Assigned,Trench along Vrede Street nearest corner St Johns,WAT: Re-Instatement after water incident,79 ST JOHNS ROAD CAPE TOWN CITY CENTRE CAPE TOWN CITY CENTRE
Water & Sanitation,9121015314,2025-10-15,Closed,Missing cover along Hatfield nearest corner Dunkley,Missing Cover Valve,0 CORNER DUNKLEY AND HATFIELD GARDENS GARDENS
Law Enforcement,9121015360,2025-10-15,Closed,Removing graffiti along Dunkley Square nearest corner Hatfield,Grafitti,107 DUNKLEY STREET GARDENS GARDENS
Roads & Infrastructure,9121015422,2025-10-15,Closed,Pavement repair along Hatfield nearest corner Wandel Street,Defect Road Foot Bic Way/Kerbs,117 HATFIELD ST CAPE TOWN CAPE TOWN
Roads & Infrastructure,9121015514,2025-10-15,Closed,Pavement repair along Wandel Street nearest corner Hatfield Additional Address Information Defect is along Wandel Street,Defect Road Foot Bic Way/Kerbs,129 HATFIELD ST GARDENS GARDENS
Roads & Infrastructure,9121015552,2025-10-15,Closed,Leak in Wandel street.,Leak in Road/Pavement/Undergr,18 WANDEL ST GARDENS GARDENS
Roads & Infrastructure,9121015598,2025-10-15,Closed,Missing cover along Wandel nearest corner Gordon,Manhole Cover/Gully Grid,2 GORDON ST GARDENS GARDENS
Roads & Infrastructure,9121015653,2025-10-15,Closed,Missing cover along Glynville nearest corner Barnet,Manhole Cover/Gully Grid,1 GLYNVILLE STREET GARDENS GARDENS
Law Enforcement,9121015740,2025-10-15,Closed,Graffiti along Wandel Street nearest corner Incohlm,Grafitti,3 WANDEL ST GARDENS GARDENS
Roads & Infrastructure,,2025-10-22,,Missing cover along Scott Street at number 19 nearest corner Maynard,,
Roads & Infrastructure,,2025-10-22,,Trees uprooting pavement along Scott Street at number 21 Scott Street nearest corner Maynard,,
Roads & Infrastructure,,2025-10-22,,Pavement uprooted along Scott Street at number 23 nearest corner Solan Road,,
Roads & Infrastructure,,2025-10-22,,Missing cover at corner Solan and 30 Scott Street,,
Roads & Infrastructure,,2025-10-22,,Pavement uprooted along Scott Street at number 29 nearest corner McKenzie,,
Roads & Infrastructure,,2025-10-22,,Fire hydrant along Brandweer nearest corner Roeland,,
Electricity,,2025-10-22,Closed,4x missing covers along Brandweer nearest corner Mill Street,,
