week_start,Incidents,Client Follow Ups,Successful ID Applications,Referred Clients to Shelters,Work Readiness Bags Collected
2025-08-01,,,,,
2025-08-08,,,,,
2025-08-11,,,,,
2025-08-18,,,,,
2025-08-25,,,,,
2025-09-01,,,,,
2025-09-08,,,,,
2025-09-15,,,,,
2025-09-22,,,,,
2025-09-29,,,,,
2025-10-06,,,,,
2025-10-13,,,,,
2025-10-20,,,,,
2025-10-27,,,,,
2025-11-03,,,,,
2025-11-10,,,,,
2025-11-17,,,,2,
2025-11-24,,,,2,
2025-12-01,,,,0,
2025-12-08,,,,2,
2025-12-15,,,,0,
2025-12-22,,,,0,
2025-12-29,,,,3,
2026-01-05,,,,4,
2026-01-12,,,3,2,
2026-01-19,,,0,1,
2026-01-26,,,4,3,
2026-02-02,,,4,0,
2026-02-09,0,8,0,1,83
2026-02-16,0,22,5,2,58
2026-02-23,0,21,5,0,52
