week_start,Accidents,"Emergency, Medical and Assistance",Pro-active Actions,Public Safety and Security,Public Space Interventions
2025-08-01,,,5,,48
2025-08-08,,,,,
2025-08-11,,,8,,
2025-08-18,,,6,,
2025-08-25,,,2,,78
2025-09-01,,,1,,84
2025-09-08,,,1,,65
2025-09-15,3,,2,,65
2025-09-22,3,,1,,84
2025-09-29,1,,,,54
2025-10-06,1,1,4,,67
2025-10-13,2,,7,,62
2025-10-20,2,,2,,63
2025-10-27,2,4,3,1,107
2025-11-03,,,,,59
2025-11-10,1,,1,,49
2025-11-17,1,1,,,48
2025-11-24,,1,,,46
2025-12-01,,2,,2,53
2025-12-08,,,1,,68
2025-12-15,,1,1,2,60
2025-12-22,,1,2,3,43
2025-12-29,,1,1,2,63
2026-01-05,,2,2,2,37
2026-01-12,2,0,2,2,29
2026-01-19,0,0,1,2,49
2026-01-26,2,0,0,1,48
2026-02-02,0,0,1,0,77
2026-02-09,0,0,1,1,57
2026-02-16,2,0,0,0,63
2026-02-23,1,0,1,4,60
2026-03-02,1,0,0,0,79
