week_start,week_end,week_label,record_status,urban_total,urban_accidents,urban_emergency_medical_assistance,urban_public_safety_and_security,urban_public_space_interventions,criminal_incidents,arrests_made,section56_notices,section341_notices,proactive_actions,cleaning_bags_collected,cleaning_servitudes_cleaned,cleaning_stormwater_drains_cleaned,cleaning_stormwater_bags_filled,social_incidents,social_client_follow_ups,social_successful_id_applications,social_shelter_referrals,social_work_readiness_bags,parks_jutland_park_bags,parks_maynard_park_bags,parks_tuin_plein_bags,parks_gordon_street_verge_bags,parks_wembley_square_verge_bags,c3_logged_total,c3_resolved_total,c3_logged_roads_and_infrastructure,c3_resolved_roads_and_infrastructure,c3_logged_water_and_sanitation,c3_resolved_water_and_sanitation,c3_logged_electricity,c3_resolved_electricity,c3_logged_parks_and_recreation,c3_resolved_parks_and_recreation,c3_logged_waste_management,c3_resolved_waste_management,c3_logged_environmental_health,c3_resolved_environmental_health,c3_logged_law_enforcement,c3_resolved_law_enforcement,c3_logged_traffic,c3_resolved_traffic,calls_received,whatsapps_received
2025-08-01,2025-08-08,2025-08-01 to 2025-08-08,REPORTED,61,,,,48,,4,,,5,750,,,,,,,,,,,,,,19,0,,,,,,,,,,,,,,,,,,
2025-08-08,2025-08-14,2025-08-08 to 2025-08-14,NO_DATA_REPORTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-11,2025-08-18,2025-08-11 to 2025-08-18,REPORTED,212,,,,,2,1,,,8,274,,,,,,,,,,,,,,11,2,,,,,,,,,,,,,,,,,,
2025-08-18,2025-08-25,2025-08-18 to 2025-08-25,REPORTED,119,,,,,2,1,8,31,6,297,,,,,,,,,,,,,,18,2,,,,,,,,,,,,,,,,,,
2025-08-25,2025-08-31,2025-08-25 to 2025-08-31,REPORTED,90,,,,78,1,1,9,40,2,337,,,,,,,,,,,,,,10,5,,,,,,,,,,,,,,,,,,
2025-09-01,2025-09-07,2025-09-01 to 2025-09-07,REPORTED,95,,,,84,2,2,9,50,1,366,,,,,,,,,,,,,,8,1,,,,,,,,,,,,,,,,,,
2025-09-08,2025-09-14,2025-09-08 to 2025-09-14,REPORTED,71,,,,65,7,2,9,48,1,347,,,,,,,,,,,,,,11,2,,,,,,,,,,,,,,,,,,
2025-09-15,2025-09-21,2025-09-15 to 2025-09-21,REPORTED,72,3,,,65,4,3,12,70,2,348,,,,,,,,,,,,,,15,3,,,,,,,,,,,,,,,,,,
2025-09-22,2025-09-28,2025-09-22 to 2025-09-28,REPORTED,88,3,,,84,2,1,13,48,1,263,,,,,,,,,,,,,,8,3,,,,,,,,,,,,,,,,,,
2025-09-29,2025-10-05,2025-09-29 to 2025-10-05,REPORTED,55,1,,,54,1,1,22,81,,348,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,
2025-10-06,2025-10-12,2025-10-06 to 2025-10-12,REPORTED,73,1,1,,67,1,1,16,51,4,306,,,,,,,,,,,,,,16,3,,,,,,,,,,,,,,,,,,
2025-10-13,2025-10-19,2025-10-13 to 2025-10-19,REPORTED,71,2,,,62,1,0,44,71,7,334,,,,,,,,,,,,,,20,2,16,1,2,1,,,0,,,,,,2,,0,,,
2025-10-20,2025-10-26,2025-10-20 to 2025-10-26,REPORTED,67,2,,,63,1,1,15,21,2,307,,,,,,,,,,,,,,11,2,3,0,7,1,1,1,0,,,,,,0,,0,,,
